seed,model,N,M,USW,EF violations,CPU time,elapsed time,EF1,fPO
4,ILP,3,190,325.0,0,0.11422500000000113,0.09268891700000026,True,True
5,ILP,3,190,339.0,0,0.12613399999999864,0.0975779999999995,True,True
6,ILP,3,190,360.0,0,0.13207900000000095,0.10080795799999986,True,True
7,ILP,3,190,335.0,0,0.0835480000000004,0.0843464169999999,True,True
8,ILP,3,190,358.0,0,0.13046299999999889,0.09857200000000077,True,True
9,ILP,3,190,355.0,0,0.13409599999999955,0.10478333299999942,True,True
0,ILP,3,210,389.0,0,0.1310280000000006,0.09912195899999965,True,True
1,ILP,3,210,367.0,0,0.153376999999999,0.11057462499999993,True,True
2,ILP,3,210,370.0,0,0.13359699999999997,0.10554941599999967,True,True
3,ILP,3,210,385.0,0,0.13560099999999942,0.10469879200000065,True,True
4,ILP,3,210,353.0,0,0.14817700000000045,0.10459408300000028,True,True
5,ILP,3,210,370.0,0,0.1322600000000005,0.10195120800000002,True,True
6,ILP,3,210,395.0,0,0.13857300000000095,0.1061065000000001,True,True
7,ILP,3,210,369.0,0,0.09506999999999977,0.08940349999999953,True,True
8,ILP,3,210,391.0,0,0.13780200000000065,0.10274179199999978,True,True
9,ILP,3,210,395.0,0,0.13927099999999903,0.10746520799999981,True,True
0,ILP,3,230,427.0,0,0.14475000000000016,0.10973987500000071,True,True
1,ILP,3,230,405.0,0,0.13967799999999997,0.10621041600000058,True,True
2,ILP,3,230,412.0,0,0.15957099999999969,0.11441549999999978,True,True
3,ILP,3,230,429.0,0,0.14488500000000037,0.10983454199999976,True,True
4,ILP,3,230,394.0,0,0.14936099999999897,0.1110367090000004,True,True
5,ILP,3,230,407.0,0,0.097468000000001,0.09757045799999986,True,True
6,ILP,3,230,426.0,0,0.10588200000000114,0.09980454199999933,True,True
7,ILP,3,230,405.0,0,0.0950729999999993,0.09513524999999934,True,True
8,ILP,3,230,425.0,0,0.09564300000000081,0.09567879200000018,True,True
9,ILP,3,230,434.0,0,0.14290800000000026,0.10840774999999958,True,True
0,ILP,3,250,459.0,0,0.15302600000000055,0.11600779199999955,True,True
1,ILP,3,250,438.0,0,0.14290300000000045,0.11457216599999853,True,True
2,ILP,3,250,448.0,0,0.10415899999999922,0.10419462499999987,True,True
3,ILP,3,250,467.0,0,0.10163699999999842,0.10168683400000056,True,True
4,ILP,3,250,436.0,0,0.34566500000000033,0.1658544580000001,True,True
5,ILP,3,250,442.0,0,0.14700799999999958,0.11362050000000146,True,True
6,ILP,3,250,458.0,0,0.12144099999999902,0.109521333,True,True
7,ILP,3,250,434.0,0,0.15322699999999934,0.11579787500000016,True,True
8,ILP,3,250,456.0,0,0.1490790000000004,0.11373233399999982,True,True
9,ILP,3,250,470.0,0,0.14591300000000018,0.1161522909999988,True,True
0,ILP,3,270,494.0,0,0.15050199999999947,0.1235577499999998,True,True
1,ILP,3,270,474.0,0,0.15311200000000014,0.1252372079999997,True,True
2,ILP,3,270,484.0,0,0.1559449999999991,0.12456391599999961,True,True
3,ILP,3,270,504.0,0,0.14649800000000113,0.12302966699999907,True,True
4,ILP,3,270,473.0,0,0.15752900000000025,0.12248187500000007,True,True
5,ILP,3,270,476.0,0,0.1066660000000006,0.10672162499999871,True,True
6,ILP,3,270,493.0,0,0.17248400000000075,0.12875920799999996,True,True
7,ILP,3,270,464.0,0,0.15798500000000004,0.12272762499999956,True,True
8,ILP,3,270,493.0,0,0.16110399999999991,0.12535229200000053,True,True
9,ILP,3,270,506.0,0,0.16177500000000045,0.12452087499999998,True,True
0,ILP,3,290,537.0,0,0.16689800000000155,0.13068091700000117,True,True
1,ILP,3,290,512.0,0,0.18521699999999974,0.1336642500000007,True,True
2,ILP,3,290,520.0,0,0.1628879999999988,0.12959483300000052,True,True
3,ILP,3,290,537.0,0,0.1952670000000012,0.14187145800000067,True,True
4,ILP,3,290,503.0,0,0.17150700000000008,0.13414220900000018,True,True
5,ILP,3,290,513.0,0,0.1710830000000012,0.13161179100000098,True,True
6,ILP,3,290,531.0,0,0.11936299999999989,0.11941050000000075,True,True
7,ILP,3,290,501.0,0,0.11689900000000009,0.11707895799999868,True,True
8,ILP,3,290,527.0,0,0.16423900000000202,0.13338095900000013,True,True
9,ILP,3,290,549.0,0,0.11666699999999963,0.11682504200000032,True,True
0,ILP,3,310,574.0,0,0.12213600000000113,0.12218799999999952,True,True
1,ILP,3,310,555.0,0,0.17772599999999983,0.13881108399999853,True,True
2,ILP,3,310,551.0,0,0.17750300000000152,0.14179333399999905,True,True
3,ILP,3,310,575.0,0,0.19182400000000044,0.14490258300000036,True,True
4,ILP,3,310,537.0,0,0.1733450000000012,0.14022854100000082,True,True
5,ILP,3,310,543.0,0,0.16460900000000223,0.14005058300000073,True,True
6,ILP,3,310,567.0,0,0.17565799999999854,0.14028549999999917,True,True
7,ILP,3,310,538.0,0,0.17239899999999864,0.13979116700000027,True,True
8,ILP,3,310,570.0,0,0.1759420000000027,0.1381686249999987,True,True
9,ILP,3,310,585.0,0,0.19075099999999878,0.14417304200000025,True,True
0,ILP,3,330,607.0,0,0.13137000000000043,0.13144899999999993,True,True
1,ILP,3,330,599.0,0,0.2172370000000008,0.15513945800000073,True,True
2,ILP,3,330,587.0,0,0.1919399999999989,0.1506772079999994,True,True
3,ILP,3,330,609.0,0,0.13080300000000022,0.1308417500000001,True,True
4,ILP,3,330,576.0,0,0.18022700000000214,0.14914637500000083,True,True
5,ILP,3,330,575.0,0,0.1919530000000016,0.15531916700000004,True,True
6,ILP,3,330,602.0,0,0.13458300000000278,0.13472833299999998,True,True
7,ILP,3,330,572.0,0,0.19798700000000125,0.14813400000000065,True,True
