seed,model,N,M,USW,EF violations,CPU time,elapsed time,EF1,fPO
4,ILP,5,130,170.0,0,0.21119799999999955,0.1778842919999999,True,True
5,ILP,5,130,188.0,0,0.24941999999999886,0.18711479100000084,True,True
6,ILP,5,130,197.0,0,0.6301469999999991,0.292709125,True,True
7,ILP,5,130,176.0,0,0.8456020000000013,0.34843016700000007,True,True
8,ILP,5,130,198.0,0,0.26017000000000046,0.20202137500000017,True,True
9,ILP,5,130,192.0,0,0.1621170000000003,0.16214999999999868,True,True
0,ILP,5,150,221.0,0,0.2549690000000009,0.2103564579999997,True,True
1,ILP,5,150,201.0,0,0.28186099999999925,0.21547204200000003,True,True
2,ILP,5,150,211.0,0,0.32287099999999924,0.2260503749999998,True,True
3,ILP,5,150,214.0,0,0.3197580000000002,0.2245412499999997,True,True
4,ILP,5,150,205.0,0,0.24826899999999874,0.20812170900000027,True,True
5,ILP,5,150,211.0,0,0.26306299999999894,0.22056187499999957,True,True
6,ILP,5,150,221.0,0,0.3235109999999999,0.2552357499999989,True,True
7,ILP,5,150,200.0,0,0.30435000000000123,0.2420943340000008,True,True
8,ILP,5,150,226.0,0,0.2974990000000002,0.237060915999999,True,True
9,ILP,5,150,218.0,0,0.27216999999999913,0.21813479200000074,True,True
0,ILP,5,170,247.0,0,0.38171099999999925,0.27349512500000017,True,True
1,ILP,5,170,233.0,0,0.30773700000000304,0.24603020799999875,True,True
2,ILP,5,170,243.0,0,0.2894709999999989,0.2413164169999984,True,True
3,ILP,5,170,243.0,0,0.2976750000000017,0.24644912499999982,True,True
4,ILP,5,170,231.0,0,0.34532199999999946,0.24735199999999935,True,True
5,ILP,5,170,240.0,0,0.6567499999999988,0.3282010419999999,True,True
6,ILP,5,170,250.0,0,0.2623110000000004,0.2352627500000004,True,True
7,ILP,5,170,223.0,0,0.3492369999999987,0.25540308299999914,True,True
8,ILP,5,170,256.0,0,0.29424900000000065,0.24379354099999873,True,True
9,ILP,5,170,247.0,0,0.2450870000000016,0.22623341699999955,True,True
0,ILP,5,190,275.0,0,0.3362969999999983,0.26330616699999965,True,True
1,ILP,5,190,263.0,0,0.29726300000000094,0.2665973340000001,True,True
2,ILP,5,190,266.0,0,0.41236800000000073,0.2905806250000005,True,True
3,ILP,5,190,275.0,0,0.3637960000000007,0.2713983330000005,True,True
4,ILP,5,190,257.0,0,0.3723339999999986,0.2717178330000003,True,True
5,ILP,5,190,265.0,0,0.2891060000000003,0.2582788330000003,True,True
6,ILP,5,190,275.0,0,0.32540400000000247,0.2627997079999993,True,True
7,ILP,5,190,252.0,0,0.34593300000000227,0.278498625000001,True,True
8,ILP,5,190,285.0,0,0.29776399999999725,0.2665219590000003,True,True
9,ILP,5,190,277.0,0,0.3887199999999993,0.2756028750000006,True,True
0,ILP,5,210,305.0,0,0.46344900000000067,0.3186303749999979,True,True
1,ILP,5,210,290.0,0,0.4253890000000027,0.3052610410000014,True,True
2,ILP,5,210,295.0,0,0.331234000000002,0.29752604100000113,True,True
3,ILP,5,210,304.0,0,0.4382009999999994,0.3113771249999999,True,True
4,ILP,5,210,283.0,0,0.3327220000000004,0.29337345800000136,True,True
5,ILP,5,210,292.0,0,0.33759099999999975,0.29691995900000023,True,True
6,ILP,5,210,304.0,0,0.41328999999999994,0.30393804199999863,True,True
7,ILP,5,210,282.0,0,0.3318329999999996,0.29222924999999833,True,True
8,ILP,5,210,311.0,0,0.41357,0.32116862499999854,True,True
9,ILP,5,210,304.0,0,0.4419709999999988,0.31157654200000096,True,True
0,ILP,5,230,335.0,0,0.4517989999999976,0.329025166000001,True,True
1,ILP,5,230,314.0,0,0.3625959999999999,0.3190830829999989,True,True
2,ILP,5,230,326.0,0,0.3919730000000001,0.3348593330000007,True,True
3,ILP,5,230,333.0,0,0.470364,0.33418070900000174,True,True
4,ILP,5,230,311.0,0,0.5101189999999995,0.3622464579999978,True,True
5,ILP,5,230,319.0,0,0.484414000000001,0.3586262499999968,True,True
6,ILP,5,230,334.0,0,0.32707500000000067,0.30074033400000033,True,True
7,ILP,5,230,307.0,0,0.3224310000000017,0.2934211659999981,True,True
8,ILP,5,230,335.0,0,0.448990000000002,0.345540500000002,True,True
9,ILP,5,230,328.0,0,0.4991190000000003,0.3585965840000007,True,True
0,ILP,5,250,361.0,0,0.42483700000000013,0.33961191599999907,True,True
1,ILP,5,250,342.0,0,0.36360999999999777,0.3307477499999969,True,True
2,ILP,5,250,356.0,0,0.3978960000000029,0.33587849999999975,True,True
3,ILP,5,250,357.0,0,0.5428680000000057,0.37122487499999934,True,True
4,ILP,5,250,339.0,0,0.47876099999999866,0.3559779170000006,True,True
5,ILP,5,250,349.0,0,0.529401,0.3638049169999995,True,True
6,ILP,5,250,366.0,0,0.44311700000000087,0.35542350000000056,True,True
7,ILP,5,250,335.0,0,0.4604759999999999,0.3598296249999997,True,True
8,ILP,5,250,367.0,0,0.4919669999999954,0.3578293749999979,True,True
9,ILP,5,250,360.0,0,0.42341100000000154,0.33739537499999983,True,True
0,ILP,5,270,388.0,0,0.5443919999999949,0.3883831250000007,True,True
1,ILP,5,270,366.0,0,0.39010599999999584,0.3543717500000021,True,True
2,ILP,5,270,392.0,0,0.537075999999999,0.3933150000000012,True,True
3,ILP,5,270,387.0,0,0.45440599999999876,0.37259108299999966,True,True
4,ILP,5,270,368.0,0,0.5206739999999996,0.39371762500000074,True,True
5,ILP,5,270,380.0,0,0.42909999999999826,0.37212900000000104,True,True
6,ILP,5,270,393.0,0,0.5281939999999992,0.38970774999999946,True,True
7,ILP,5,270,360.0,0,0.4194090000000017,0.35852041700000115,True,True
8,ILP,5,270,392.0,0,0.5252010000000027,0.37881170800000064,True,True
9,ILP,5,270,386.0,0,0.38475800000000504,0.3488759160000008,True,True
0,ILP,5,290,415.0,0,0.34439700000000073,0.34459979100000027,True,True
1,ILP,5,290,394.0,0,0.5586190000000002,0.41127095799999935,True,True
2,ILP,5,290,419.0,0,0.35646400000000256,0.3567064999999978,True,True
3,ILP,5,290,417.0,0,0.6243929999999978,0.43141374999999726,True,True
4,ILP,5,290,392.0,0,0.5676869999999994,0.4078166249999988,True,True
5,ILP,5,290,412.0,0,0.5004780000000011,0.4190761250000037,True,True
6,ILP,5,290,420.0,0,0.5654210000000006,0.4316377079999967,True,True
7,ILP,5,290,391.0,0,0.6190280000000001,0.4431900829999975,True,True
8,ILP,5,290,423.0,0,0.6007719999999992,0.44002512499999824,True,True
9,ILP,5,290,409.0,0,0.673257999999997,0.4400362080000022,True,True
0,ILP,5,310,443.0,0,0.7195339999999959,0.4873224580000013,True,True
1,ILP,5,310,423.0,0,0.4362870000000001,0.3981887079999993,True,True
2,ILP,5,310,451.0,0,0.5285420000000016,0.42176354099999713,True,True
3,ILP,5,310,444.0,0,0.4896140000000031,0.4249540830000029,True,True
4,ILP,5,310,427.0,0,0.6506380000000007,0.4705090839999997,True,True
5,ILP,5,310,437.0,0,0.6490319999999983,0.47239875000000353,True,True
6,ILP,5,310,445.0,0,0.6118400000000008,0.4667642920000006,True,True
7,ILP,5,310,418.0,0,0.5400070000000028,0.42372641600000094,True,True
8,ILP,5,310,463.0,0,0.649642,0.4767866250000026,True,True
9,ILP,5,310,435.0,0,0.5876909999999995,0.4373306670000048,True,True
0,ILP,5,330,470.0,0,0.5886279999999999,0.46457070799999656,True,True
1,ILP,5,330,449.0,0,0.48217900000000213,0.4397021250000037,True,True
2,ILP,5,330,481.0,0,1.1516770000000065,0.6153255830000006,True,True
3,ILP,5,330,473.0,0,0.6828980000000016,0.48901695800000056,True,True
4,ILP,5,330,459.0,0,0.5883950000000056,0.4884997079999991,True,True
